Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
2/20/1979,85.82,62.12,153.78,71.24,67.04,104.85,16.62,#N/A,85.82,#N/A,77.24,6.77,90.12,48.3,#N/A,#N/A,34.53,62.12,#N/A,85.82,12.4,#N/A,67.04,46.74
2/21/1979,87.13,63.09,155.25,72.21,67.37,105.51,16.67,#N/A,87.13,#N/A,77.5,6.79,90.42,48.46,#N/A,#N/A,34.64,63.09,#N/A,87.13,12.46,#N/A,67.37,47
2/22/1979,87.68,63.41,155.89,72.6,67.91,106.37,16.78,#N/A,87.68,#N/A,78.02,6.84,91.02,48.78,#N/A,#N/A,34.87,63.41,#N/A,87.68,12.56,#N/A,67.91,47.38
2/23/1979,87.21,63.01,155.27,72.12,67.73,105.74,16.7,#N/A,87.21,#N/A,77.61,6.8,90.55,48.53,#N/A,#N/A,34.69,63.01,#N/A,87.21,12.51,#N/A,67.73,47.17
2/26/1979,86.38,62.32,155.84,71.11,67.79,105.43,16.63,#N/A,86.38,#N/A,77.55,6.84,90.57,48.22,#N/A,#N/A,34.57,62.32,#N/A,86.38,12.49,#N/A,67.79,47.25
2/27/1979,86.14,62.21,154.36,70.86,67.02,104.45,16.46,#N/A,86.14,#N/A,76.72,6.76,89.6,47.7,#N/A,#N/A,34.19,62.21,#N/A,86.14,12.42,#N/A,67.02,46.78
2/28/1979,87.32,63.1,154.66,71.8,66.85,104.63,16.45,#N/A,87.32,#N/A,76.68,6.76,89.55,47.68,#N/A,#N/A,34.65,63.1,#N/A,87.32,12.37,#N/A,66.85,46.81
3/1/1979,86.45,62.54,156.55,71.08,66.89,105.66,16.55,#N/A,86.45,#N/A,77.15,6.8,90.09,47.97,#N/A,#N/A,34.86,62.54,#N/A,86.45,12.41,#N/A,66.89,47.13
3/2/1979,86.17,62.36,156.85,70.91,66.73,105.56,16.52,#N/A,86.17,#N/A,77.02,6.79,89.94,47.89,#N/A,#N/A,34.81,62.36,#N/A,86.17,12.4,#N/A,66.73,47.16
3/5/1979,82.75,59.99,153.28,68.07,65.03,103.18,16.12,#N/A,82.75,#N/A,75.4,6.63,87.9,46.84,#N/A,#N/A,33.97,59.99,#N/A,82.75,12.09,#N/A,65.03,46.03
3/6/1979,83.3,60.35,150.88,68.45,64.21,101.49,15.87,#N/A,83.3,#N/A,74.22,6.53,86.53,46.11,#N/A,#N/A,33.44,60.35,#N/A,83.3,11.93,#N/A,64.21,45.37
3/7/1979,84.17,60.83,152.24,68.84,64.86,102.16,15.98,#N/A,84.17,#N/A,74.71,6.57,87.1,46.41,#N/A,#N/A,33.66,60.83,#N/A,84.17,12.05,#N/A,64.86,45.8
3/8/1979,83.11,60.02,150.3,67.7,63.77,100.67,15.7,#N/A,83.11,#N/A,73.4,6.46,85.57,45.6,#N/A,#N/A,33.07,60.02,#N/A,83.11,11.87,#N/A,63.77,45.23
3/9/1979,83.74,60.56,151.91,68.35,64.27,101.63,15.85,#N/A,83.74,#N/A,74.1,6.52,86.39,46.04,#N/A,#N/A,33.39,60.56,#N/A,83.74,11.97,#N/A,64.27,45.56
3/12/1979,83.39,60.39,152.95,67.98,64.23,102.09,15.86,#N/A,83.39,#N/A,74.71,6.58,87.47,46.54,#N/A,#N/A,33.41,60.39,#N/A,83.39,11.99,#N/A,64.23,45.72
3/13/1979,83.08,60.29,154.21,67.77,63.48,102,16.05,#N/A,83.08,#N/A,74.26,6.54,86.95,46.27,#N/A,#N/A,33.22,60.29,#N/A,83.08,11.94,#N/A,63.48,45.65
3/14/1979,83.22,60.29,153.27,67.97,63.58,101.89,16.11,#N/A,83.22,#N/A,74.51,6.57,87.24,46.42,#N/A,#N/A,33.33,60.29,#N/A,83.22,11.95,#N/A,63.58,45.68
3/15/1979,83.43,60.48,153.01,68.17,63.65,102.05,16.11,#N/A,83.43,#N/A,74.52,6.57,87.24,46.43,#N/A,#N/A,33.33,60.48,#N/A,83.43,11.94,#N/A,63.65,45.62
3/16/1979,84.78,61.52,153.05,69.47,63.52,101.97,16.13,#N/A,84.78,#N/A,74.63,6.58,87.37,46.49,#N/A,#N/A,33.38,61.52,#N/A,84.78,11.95,#N/A,63.52,45.62
3/19/1979,84.17,61.06,155.82,69.21,64.38,103.94,16.49,#N/A,84.17,#N/A,76.07,6.67,88.75,47.32,#N/A,#N/A,34.12,61.06,#N/A,84.17,12.19,#N/A,64.38,46.41
3/20/1979,84.12,60.96,154.41,68.86,64.01,103.09,16.28,#N/A,84.12,#N/A,75.11,6.58,87.63,46.72,#N/A,#N/A,33.69,60.96,#N/A,84.12,12.05,#N/A,64.01,46.05
3/21/1979,83.36,60.5,153.33,68.27,63.38,102.97,16.17,#N/A,83.36,#N/A,74.59,6.54,87.02,46.39,#N/A,#N/A,33.46,60.5,#N/A,83.36,12.01,#N/A,63.38,45.81
